,strain,type,rating,effects,taste
1129,Kt Dawg,hybrid,4.8,"Uplifted,Happy,Relaxed,Giggly,Euphoric","Sweet,Flowery,Earthy"
1130,Kaboom,sativa,4.5,"Energetic,Happy,Uplifted,Creative,Euphoric","Lemon,Pine,Earthy"
1131,Kahuna,indica,4.2,"Uplifted,Euphoric,Relaxed,Creative,Focused","Sweet,Orange,Tropical"
1132,Kaia Kush,hybrid,4.7,"Relaxed,Happy,Euphoric,Tingly,Uplifted","Lemon,Sweet,Pungent"
1133,Kalalau Kush,hybrid,5,"Tingly,Uplifted,Euphoric,Happy,Creative","Sweet,Tropical,Pineapple"
1134,Kalashnikova,hybrid,4.3,"Relaxed,Happy,Energetic,Hungry,Sleepy","Sweet,Citrus,Earthy"
1135,Kaleidos Dope,hybrid,4,None,None
1136,Kali 47,sativa,5,"Uplifted,Creative,Energetic,Euphoric,Happy","Sweet,Vanilla"
1137,Kali China,indica,4.2,"Creative,Relaxed,Euphoric,Sleepy,Talkative","Spicy/Herbal,Minty,Pepper"
1138,Kali Dog,hybrid,4.8,"Relaxed,Uplifted,Happy,Focused,Energetic","Citrus,Lemon,Diesel"
1139,Kali Mist,sativa,4.1,"Energetic,Focused,Uplifted,Euphoric,Creative","Woody,Earthy,Citrus"
1140,Kandahar,indica,4.7,"Relaxed,Sleepy,Euphoric,Uplifted,Giggly","Apricot,Earthy,Spicy/Herbal"
1141,Kandy Kush,hybrid,4.3,"Happy,Relaxed,Uplifted,Euphoric,Hungry","Sweet,Citrus,Lemon"
1142,Kaptns Grand Dream,hybrid,4,"Uplifted,Euphoric,Giggly,Happy,Relaxed","Ammonia,Blueberry,Grape"
1143,Karma Bitch,hybrid,4.4,"Uplifted,Creative,Happy,Focused,Relaxed","Earthy,Coffee,Tea"
1144,Katsu Bubba Kush,indica,4.4,"Relaxed,Uplifted,Happy,Euphoric,Giggly","Lime,Sweet,Minty"
1145,Katsu Kush,indica,4.1,"Relaxed,Sleepy,Euphoric,Happy,Uplifted","Earthy,Sweet,Woody"
1146,Kauai Electric,sativa,4.8,"Creative,Energetic,Happy,Focused,Uplifted","Orange,Tree,Fruit,Sweet"
1147,Kelly Hill Gold,indica,5,"Happy,Energetic,Euphoric,Talkative,Aroused","Pepper,Earthy,Coffee"
1148,Kens Kush,hybrid,4.2,"Relaxed,Happy,Euphoric,Uplifted,Hungry","Earthy,Skunk,Spicy/Herbal"
1149,Kerala Krush,sativa,4.6,"Energetic,Happy,Hungry,Focused,Relaxed","Mango,Sweet,Orange"
1150,Key Lime Pie,hybrid,4.5,"Happy,Relaxed,Uplifted,Sleepy,Creative","Lime,Sweet,Citrus"
1151,Khalifa Kush,hybrid,4.7,"Happy,Relaxed,Uplifted,Euphoric,Creative","Earthy,Pine,Lemon"
1152,Khufu,indica,4.2,"Relaxed,Euphoric,Happy,Focused,Sleepy","Pungent,Sweet,Woody"
1153,Kid N Cookies,hybrid,4.6,"Happy,Relaxed,Tingly,Giggly,Hungry","Earthy,Pine,Skunk"
1154,Kilimanjaro,sativa,4.5,"Happy,Focused,Uplifted,Creative,Energetic","Lemon,Earthy,Spicy/Herbal"
1155,Kill Bill,hybrid,4.4,"Relaxed,Sleepy,Euphoric,Hungry,Tingly","Pine,Diesel,Sage"
1156,Killer Grape,hybrid,4.6,"Euphoric,Uplifted,Happy,Sleepy,Tingly","Sweet,Grape,Tropical"
1157,Killer Queen,hybrid,4.3,"Happy,Energetic,Creative,Uplifted,Talkative","Citrus,Sweet,Tropical"
1158,Killing Fields,sativa,4.5,"Energetic,Happy,Focused,Euphoric,Uplifted","Lemon,Citrus,Pungent"
1159,Kimbo Kush,hybrid,4.5,"Relaxed,Sleepy,Happy,Focused,Uplifted","Earthy,Sweet,Pungent"
1160,King Cake,hybrid,4.8,"Relaxed,Euphoric,Uplifted,Happy,Aroused","Sweet,Vanilla,Skunk"
1161,King Kong,hybrid,4.2,"Happy,Relaxed,Sleepy,Uplifted,Focused","Flowery,Earthy,Pungent"
1162,King Louis,indica,4.6,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Earthy,Woody,Pine"
1163,Kings Bread,sativa,4.2,"Focused,Relaxed,Creative,Uplifted,Euphoric","Earthy,Citrus,Lemon"
1164,King Kush,indica,4.3,"Relaxed,Happy,Hungry,Euphoric,Sleepy","Diesel,Sweet,Earthy"
1165,Kiss,hybrid,4,None,None
1166,Kiwiskunk,indica,3.9,"Happy,Hungry,Sleepy,Aroused,Tingly","Spicy/Herbal,Pungent,Woody"
1167,Kobain Kush,indica,4.3,"Hungry,Aroused,Relaxed,Happy,Euphoric","Earthy,Ammonia,Chestnut"
1168,Kona Gold,sativa,4.4,"Happy,Uplifted,Energetic,Euphoric,Giggly","Tropical,Pineapple,Orange"
1169,Kong,hybrid,4.7,"Relaxed,Happy,Sleepy,Euphoric,Hungry","Earthy,Woody,Skunk"
1170,Kool Aid Smile,indica,4.8,"Relaxed,Happy,Talkative,Uplifted,Creative","Sage,Berry,Grape"
1171,Kosher Kush,indica,4.5,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Earthy,Pungent,Woody"
1172,Kosher Tangie,hybrid,4.5,"Happy,Relaxed,Uplifted,Creative,Euphoric","Citrus,Pine,Orange"
1173,Kraken,indica,4.4,"Euphoric,Happy,Creative,Energetic,Relaxed","Butter,Citrus,Cheese"
1174,Krishna Kush,indica,4.9,"Relaxed,Happy,Giggly,Aroused,Sleepy","Sweet,Berry,Lavender"
1175,Kryptonite,indica,4.3,"Relaxed,Happy,Euphoric,Creative,Giggly","Flowery,Tropical,Sweet"
1176,Kuato,hybrid,5,"Talkative,Euphoric,Aroused,Tingly,Uplifted","Sweet,Orange,Pungent"
1177,Kubbie Kush,indica,3,"Relaxed,Sleepy,Euphoric,Happy","Berry,Blueberry,Flowery"
1178,Kuchi,hybrid,3.6,"Aroused,Creative,Energetic,Euphoric,Focused","Sweet,Earthy,Lemon"
1179,Kurple Fantasy,hybrid,4.7,"Relaxed,Uplifted,Happy,Euphoric,Tingly","Earthy,Grape,Flowery"
1180,Kush Cleaner,hybrid,4.6,"Relaxed,Euphoric,Aroused,Creative,Energetic","Woody,Pine,Diesel"
1181,Kush Rise,hybrid,3.5,"Relaxed,Creative,Euphoric",None
1182,Kush N Cheese,hybrid,4,"Relaxed,Focused,Uplifted,Sleepy,Happy","Sweet,Lemon,Cheese"
1183,Kushadelic,indica,4.5,"Relaxed,Sleepy,Euphoric,Uplifted,Focused","Pungent,Pine,Earthy"
1184,Kushage,hybrid,4.4,"Relaxed,Happy,Euphoric,Hungry,Tingly","Earthy,Sage,Spicy/Herbal"
1185,Kushashima,hybrid,4,"Relaxed,Sleepy,Uplifted,Creative,Energetic","Pungent,Pine,Sweet"
1186,Kushberry,indica,4.3,"Relaxed,Sleepy,Happy,Uplifted,Creative","Berry,Earthy,Lemon"
1187,Leagle Eagle,hybrid,4.7,"Energetic,Creative,Talkative,Focused,Uplifted","Sweet,Diesel,Skunk"
1188,La Sunshine,hybrid,4.7,"Uplifted,Energetic,Happy,Euphoric,Creative","Citrus,Earthy,Spicy/Herbal"
1189,Lak Federal Reserve,indica,5,"Relaxed,Tingly,Hungry,Uplifted,Creative","Lemon,Earthy,Sweet"
1190,La Chocolat,hybrid,4.5,"Relaxed,Happy,Euphoric,Sleepy,Hungry","Earthy,Coffee,Sweet"
1191,La Confidential,indica,4.3,"Relaxed,Happy,Sleepy,Euphoric,Uplifted","Sweet,Earthy,Pine"
1192,La Jack,hybrid,3.7,"Euphoric,Creative,Relaxed,Sleepy,Tingly","Berry,Apple,Blueberry"
1193,La Kookies,hybrid,4.7,"Hungry,Relaxed,Happy,Creative,Talkative","Earthy,Coffee,Berry"
1194,La Kush,hybrid,4.5,"Relaxed,Happy,Creative,Uplifted,Euphoric","Menthol,Pungent,Pine"
1195,La Og,indica,4.4,"Relaxed,Euphoric,Sleepy,Happy,Tingly","Earthy,Berry,Flowery"
1196,La Ultra,indica,4.7,"Relaxed,Euphoric,Happy,Sleepy,Tingly","Lemon,Chemical,Diesel"
1197,La Woman,hybrid,4.2,"Relaxed,Euphoric,Tingly,Happy,Sleepy","Earthy,Pungent,Pine"
1198,Lapd,hybrid,4.7,"Uplifted,Energetic,Happy,Relaxed,Creative","Diesel,Pepper,Pungent"
1199,Lsd,hybrid,4.3,"Happy,Relaxed,Euphoric,Uplifted,Creative","Earthy,Pungent,Citrus"
1200,Lvpk,hybrid,4.6,"Happy,Relaxed,Hungry,Sleepy,Uplifted","Sweet,Earthy,Berry"
1201,La Nina,sativa,4.7,"Uplifted,Creative,Energetic,Talkative,Euphoric","Sweet,Earthy"
1202,Lady Liberty,hybrid,4.2,"Sleepy,Hungry,Relaxed",Sweet
1203,Ladyburn 1974,hybrid,4,"Relaxed,Sleepy,Creative,Giggly,Hungry","Earthy,Pepper,Ammonia"
1204,Lake Of Fire,hybrid,4.6,"Euphoric,Uplifted,Happy,Relaxed,Aroused","Diesel,Pine,Earthy"
1205,Lamb S Bread,sativa,4.4,"Euphoric,Creative,Happy,Uplifted,Energetic","Earthy,Woody,Pungent"
1206,Lambo Og,hybrid,4.5,"Happy,Euphoric,Sleepy,Hungry,Relaxed","Tropical,Sweet,Ammonia"
1207,Lamborghini,hybrid,4,"Relaxed,Sleepy,Euphoric,Happy,Uplifted","Diesel,Pine,Lime"
1208,Larry Bird Kush,hybrid,4.9,"Relaxed,Euphoric,Energetic,Happy,Uplifted","Sweet,Orange,Earthy"
1209,Larry Og,hybrid,4.3,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Lemon,Pine,Citrus"
1210,Las Vegas Purple Kush Bx,indica,5,"Sleepy,Happy,Relaxed,Aroused,Creative",None
1211,Lashkar Gah,indica,4.7,"Relaxed,Euphoric,Sleepy,Hungry,Happy","Earthy,Pungent,Sweet"
1212,Laughing Buddha,sativa,4.4,"Happy,Euphoric,Uplifted,Energetic,Giggly","Tropical,Sweet,Spicy/Herbal"
1213,Laughing Gas,hybrid,None,"Energetic,Giggly,Happy,Talkative,Tingly",None
1214,Lavender,indica,4.1,"Relaxed,Happy,Sleepy,Uplifted,Euphoric","Lavender,Flowery,Sweet"
1215,Lavender Haze,sativa,4.1,"Euphoric,Uplifted,Energetic,Happy,Relaxed","Lavender,Flowery,Earthy"
1216,Lavender Jones,hybrid,4.4,"Happy,Relaxed,Euphoric,Uplifted,Creative","Lavender,Earthy,Sweet"
1217,Lazy Train,hybrid,None,None,None
1218,Le Silver Royale,hybrid,4.5,"Uplifted,Talkative,Euphoric,Happy,Energetic","Skunk,Cheese,Woody"
1219,Leda Uno,sativa,5,"Tingly,Focused,Hungry",None
1220,Lee Roy,indica,4.7,"Relaxed,Euphoric,Sleepy,Uplifted,Tingly","Lime,Lemon,Citrus"
1221,Legalized Og,hybrid,4.8,"Hungry,Sleepy,Relaxed,Happy,Focused","Pungent,Chemical,Spicy/Herbal"
1222,Legend Og,indica,4.6,"Relaxed,Sleepy,Happy,Creative,Focused","Pungent,Earthy,Pine"
1223,Legend Of Nigeria,sativa,None,None,None
1224,Legendary Lemon,sativa,4,"Aroused,Euphoric,Relaxed,Creative,Sleepy","Apricot,Chemical,Blueberry"
1225,Lemon Alien Dawg,hybrid,4.5,"Relaxed,Creative,Focused,Aroused,Sleepy","Pungent,Pine,Earthy"
1226,Lemon Bananas,hybrid,5,"Talkative,Tingly,Uplifted,Creative,Energetic","Spicy/Herbal,Lime,Lemon"
1227,Lemon Bubble,sativa,4.6,"Happy,Energetic,Talkative,Euphoric,Uplifted","Lemon,Citrus,Sweet"
1228,Lemon Cake,sativa,4.3,"Relaxed,Uplifted,Happy,Energetic,Euphoric","Lemon,Cheese,Sweet"
1229,Lemon Crme,sativa,None,None,None
1230,Lemon Daddy,hybrid,4.1,"Energetic,Happy,Focused,Giggly,Relaxed","Lemon,Citrus,Earthy"
1231,Lemon Diesel,hybrid,4.2,"Euphoric,Happy,Relaxed,Creative,Energetic","Lemon,Diesel,Citrus"
1232,Lemon Drop,hybrid,4.1,"Happy,Euphoric,Focused,Uplifted,Relaxed","Lemon,Citrus,Pine"
1233,Lemon Fire,hybrid,4.7,"Happy,Uplifted,Energetic,Euphoric,Focused","Citrus,Lemon,Earthy"
1234,Lemon G,sativa,4.4,"Relaxed,Euphoric,Happy,Uplifted,Creative","Lemon,Sweet,Pungent"
1235,Lemon Haze,sativa,4.3,"Happy,Uplifted,Euphoric,Energetic,Relaxed","Lemon,Citrus,Sweet"
1236,Lemon Ice,sativa,4.6,"Energetic,Euphoric,Happy,Creative,Focused","Lemon,Citrus,Diesel"
1237,Lemon Jack,sativa,4.4,"Focused,Energetic,Happy,Uplifted,Creative","Lemon,Citrus,Sweet"
1238,Lemon Jeffery,hybrid,4.5,None,"Sweet,Citrus,Lemon"
1239,Lemon Kush,hybrid,4.1,"Relaxed,Happy,Euphoric,Uplifted,Energetic","Lemon,Citrus,Earthy"
1240,Lemon Larry Lavender,hybrid,4.1,"Relaxed,Focused,Giggly,Uplifted,Creative","Citrus,Lemon,Lavender"
1241,Lemon Marmalade,hybrid,4.8,"Uplifted,Happy,Euphoric,Relaxed,Tingly","Lemon,Diesel,Sweet"
1242,Lemon Meringue,sativa,4.7,"Uplifted,Happy,Energetic,Creative,Relaxed","Lemon,Citrus,Sweet"
1243,Lemon Og Haze,hybrid,4.5,"Energetic,Happy,Focused,Euphoric,Creative","Lemon,Citrus,Lime"
1244,Lemon Og,hybrid,4.3,"Relaxed,Euphoric,Happy,Sleepy,Uplifted","Lemon,Citrus,Earthy"
1245,Lemon Pie,sativa,4.2,"Energetic,Euphoric,Uplifted,Talkative,Happy","Lemon,Citrus,Diesel"
1246,Lemon Sativa,sativa,4.2,"Happy,Euphoric,Energetic,Creative,Focused","Lemon,Citrus,Earthy"
1247,Lemon Skunk,hybrid,4.3,"Happy,Uplifted,Relaxed,Euphoric,Focused","Lemon,Skunk,Citrus"
1248,Lemon Thai,sativa,4.1,"Focused,Happy,Creative,Talkative,Energetic","Lemon,Citrus,Earthy"
1249,Lemon Walker Og,hybrid,4.4,"Relaxed,Uplifted,Happy,Focused,Energetic","Citrus,Lemon,Pungent"
1250,Lemon Wreck,hybrid,4.1,"Relaxed,Creative,Euphoric,Tingly,Focused","Lemon,Citrus,Diesel"
1251,Lemonberry,hybrid,4.3,"Euphoric,Energetic,Giggly,Happy,Creative","Lemon,Sweet,Blueberry"
1252,Lemonder,hybrid,4.5,"Happy,Uplifted,Giggly,Energetic,Euphoric","Citrus,Lemon,Earthy"
1253,Lemonhead Og,hybrid,4.9,"Relaxed,Uplifted,Happy,Euphoric,Creative","Lemon,Citrus,Sweet"
1254,Lennon,sativa,None,None,None
1255,Leonidas,sativa,4,"Focused,Aroused,Uplifted,Creative,Energetic","Grape,Lavender,Violet"
1256,Lethal Purple,hybrid,3.3,"Talkative,Creative,Euphoric,Happy,Hungry","Sweet,Grape,Flowery"
1257,Liberty Haze,hybrid,4.5,"Happy,Uplifted,Relaxed,Euphoric,Energetic","Citrus,Lime,Sweet"
1258,Lifesaver,hybrid,4.5,"Relaxed,Euphoric,Energetic,Uplifted,Tingly","Citrus,Sweet,Berry"
1259,Light Of Jah,sativa,4.6,"Happy,Uplifted,Energetic,Euphoric,Relaxed","Spicy/Herbal,Tropical,Pungent"
1260,Lime Green Skunk,hybrid,4.5,"Happy,Euphoric,Uplifted,Relaxed,Focused","Lime,Citrus,Tropical"
1261,Lime Purple Mist,indica,4.3,"Happy,Relaxed,Tingly,Sleepy,Uplifted","Berry,Lime,Sweet"
1262,Lime Skunk,sativa,4.8,"Uplifted,Creative,Happy,Euphoric,Energetic","Lime,Citrus,Pungent"
1263,Lime Sorbet,indica,5,"Relaxed,Euphoric,Sleepy,Happy,Giggly","Lime,Citrus,Sweet"
1264,Limon,sativa,4.8,"Happy,Creative,Euphoric,Energetic,Giggly","Lemon,Citrus,Diesel"
1265,Lions Gate,indica,4.4,"Happy,Uplifted,Energetic,Focused,Creative","Menthol,Sage,Citrus"
1266,Liquid Butter,indica,4.5,"Relaxed,Sleepy,Happy,Talkative,Giggly","Butter,Earthy,Woody"
1267,Little Devil,hybrid,4.2,"Uplifted,Energetic,Happy,Relaxed,Aroused",None
1268,Little Dragon,hybrid,5,"Uplifted,Euphoric,Happy,Relaxed,Talkative","Diesel,Minty,Woody"
1269,Locktite,hybrid,4.3,"Relaxed,Happy,Uplifted,Tingly,Euphoric","Diesel,Citrus,Woody"
1270,Locomotion,indica,4.6,"Euphoric,Happy,Relaxed,Uplifted,Aroused","Earthy,Sweet,Pungent"
1271,Lodi Dodi,hybrid,4.5,"Happy,Giggly,Energetic,Euphoric,Uplifted","Sweet,Flowery,Tropical"
1272,Logic Diesel,hybrid,4.8,"Talkative,Energetic,Happy,Uplifted,Euphoric","Diesel,Skunk,Minty"
1273,Longbottom Leaf,hybrid,4.8,"Euphoric,Happy,Uplifted,Energetic,Hungry","Pepper,Sweet,Spicy/Herbal"
1274,Lost Coast Og,hybrid,4.5,"Relaxed,Euphoric,Uplifted,Happy,Creative","Earthy,Lemon,Citrus"
1275,Lost Sierra Night Nurse,hybrid,None,None,None
1276,Loud Dream,hybrid,4.1,"Happy,Focused,Euphoric,Creative,Uplifted","Pine,Earthy,Spicy/Herbal"
1277,Loud Scout,hybrid,4.4,"Relaxed,Happy,Focused,Uplifted,Energetic","Grape,Sweet,Tropical"
1278,Love Potion,sativa,4.4,"Happy,Talkative,Euphoric,Relaxed,Energetic","Skunk,Citrus,Grapefruit"
1279,Love Potion 9,indica,4.2,"Euphoric,Happy,Talkative,Focused,Energetic","Sweet,Flowery,Honey"
1280,Lowryder,hybrid,4.4,"Relaxed,Uplifted,Happy,Creative,Sleepy","Sweet,Pine,Citrus"
1281,Loyality,hybrid,5,"Tingly,Relaxed,Focused,Uplifted,Creative","Pungent,Citrus,Earthy"
1282,Luca Brasi,hybrid,5,None,None
1283,Luca Brasi X Sour Diesel,hybrid,4.4,"Focused,Energetic,Uplifted,Happy,Relaxed","Earthy,Lemon,Pungent"
1284,Lucid Bolt,indica,5,"Giggly,Hungry,Relaxed,Sleepy,Talkative","Blueberry,Berry,Earthy"
1285,Lucid Dream,hybrid,4.6,"Energetic,Euphoric,Uplifted,Focused,Relaxed","Berry,Blueberry,Sweet"
1286,Lucky Charms,hybrid,4.5,"Euphoric,Happy,Relaxed,Uplifted,Tingly","Berry,Sweet,Citrus"
1287,Lucy,hybrid,4.4,"Relaxed,Sleepy,Uplifted,Happy,Hungry","Earthy,Woody,Sweet"
1288,M 39,indica,3.2,"Relaxed,Sleepy,Happy,Hungry,Euphoric","Woody,Earthy,Lemon"
1289,Mc1,hybrid,None,"Hungry,Aroused,Tingly,Uplifted,Creative","Diesel,Spicy/Herbal,Sweet"
1290,Milf,hybrid,4.4,"Happy,Euphoric,Uplifted,Giggly,Relaxed","Earthy,Sweet,Sage"
1291,Mk Ultra,indica,4.5,"Relaxed,Euphoric,Sleepy,Happy,Hungry","Earthy,Pungent,Woody"
1292,Mad Dawg,hybrid,4.5,"Happy,Uplifted,Hungry,Talkative,Energetic","Sweet,Earthy,Citrus"
1293,Mad Scientist,indica,4.6,"Relaxed,Uplifted,Focused,Euphoric,Happy","Woody,Pungent,Pine"
1294,Madagascar,indica,4.1,"Sleepy,Relaxed,Hungry,Happy,Euphoric","Earthy,Sweet,Skunk"
1295,Madcow,sativa,3.4,"Sleepy,Uplifted,Energetic,Relaxed,Talkative","Sweet,Earthy,Ammonia"
1296,Madman Og,hybrid,4.6,"Relaxed,Sleepy,Hungry,Uplifted,Euphoric","Earthy,Pine,Woody"
1297,Madzilla,indica,5,"Tingly,Uplifted,Euphoric,Happy,Relaxed","Earthy,Woody,Pine"
1298,Mag Landrace,indica,4.6,"Relaxed,Happy,Sleepy,Euphoric,Uplifted","Earthy,Sweet,Pungent"
1299,Magic Beans Og,indica,4.2,"Happy,Sleepy,Euphoric,Relaxed,Tingly","Lemon,Woody,Pine"
1300,Magic Jordan,hybrid,4,"Euphoric,Focused,Tingly,Uplifted,Creative","Minty,Orange,Lemon"
1301,Magnum,hybrid,3.9,"Energetic,Happy,Creative,Uplifted,Euphoric","Earthy,Citrus,Lemon"
1302,Magnum Pi,sativa,4.3,"Uplifted,Focused,Energetic,Euphoric,Creative","Tropical,Citrus,Orange"
1303,Mai Tai Cookies,hybrid,4.9,"Happy,Relaxed,Euphoric,Creative,Uplifted","Orange,Tree,Fruit,Spicy/Herbal"
1304,Majestic 12,hybrid,4.8,"Relaxed,Tingly,Happy,Euphoric,Creative","Earthy,Sweet,Berry"
1305,Mako Haze,sativa,4.2,"Euphoric,Happy,Relaxed,Hungry,Uplifted","Pine,Citrus,Earthy"
1306,Malakoff,sativa,3.7,"Focused,Talkative,Creative,Energetic,Happy","Sweet,Earthy,Woody"
1307,Malawi,sativa,4.4,"Energetic,Uplifted,Focused,Happy,Creative","Earthy,Flowery,Grape"
1308,Mammoth,hybrid,4.5,"Happy,Relaxed,Focused,Uplifted,Creative","Honey,Earthy,Woody"
1309,Mandala 1,hybrid,4.3,"Euphoric,Creative,Energetic,Uplifted,Focused","Apple,Minty,Berry"
1310,Mango,indica,4.1,"Relaxed,Sleepy,Happy,Euphoric,Focused","Mango,Earthy,Sweet"
1311,Mango Dream,sativa,3.9,"Talkative,Happy,Euphoric,Relaxed,Creative","Mango,Tropical,Earthy"
1312,Mango Habanero,hybrid,3.5,"Focused,Uplifted,Creative,Energetic,Euphoric","Pepper,Spicy/Herbal,Sweet"
1313,Mango Haze,sativa,4.6,"Happy,Relaxed,Euphoric,Focused,Uplifted","Mango,Sweet,Tropical"
1314,Mango Kush,hybrid,4.3,"Happy,Relaxed,Uplifted,Euphoric,Giggly","Mango,Sweet,Citrus"
1315,Mango Tango,hybrid,4.6,"Relaxed,Happy,Euphoric,Giggly,Sleepy","Mango,Tropical,Citrus"
1316,Mangolicious,indica,5,"Uplifted,Focused,Relaxed,Giggly,Happy","Sweet,Tropical,Pineapple"
1317,Manitoba Poison,hybrid,4.5,"Relaxed,Happy,Sleepy,Focused,Uplifted","Spicy/Herbal,Earthy,Cheese"
1318,Maple Leaf Indica,indica,4.3,"Relaxed,Sleepy,Tingly,Euphoric,Happy","Sweet,Butter,Woody"
1319,Maramota 10,hybrid,5,"Talkative,Energetic,Giggly,Relaxed","Sweet,Berry,Earthy"
1320,Marcosus Marshmellow,hybrid,3.9,"Euphoric,Uplifted,Happy,Creative,Energetic","Minty,Sweet,Berry"
1321,Margaret Cho G,hybrid,4.7,"Euphoric,Focused,Relaxed,Talkative,Uplifted","Sweet,Grapefruit,Honey"
1322,Marionberry Kush,hybrid,4.5,"Happy,Relaxed,Uplifted,Euphoric,Creative","Berry,Earthy,Sweet"
1323,Marleys Collie,hybrid,4.3,"Focused,Aroused,Hungry,Tingly,Relaxed",Sweet
1324,Mars Og,indica,4.4,"Relaxed,Sleepy,Hungry,Euphoric,Focused","Pine,Woody,Citrus"
1325,Martian Candy,hybrid,4.7,"Relaxed,Happy,Uplifted,Euphoric,Talkative","Sweet,Woody,Earthy"
1326,Martian Mean Green,hybrid,4.2,"Euphoric,Happy,Hungry,Uplifted,Focused","Sweet,Citrus,Grapefruit"
1327,Martian Muffins,indica,None,None,None
1328,Master Bubba,indica,4.3,"Relaxed,Euphoric,Happy,Uplifted,Sleepy","Earthy,Pungent,Skunk"
1329,Master Jedi,indica,4.4,"Relaxed,Euphoric,Creative,Focused,Uplifted","Skunk,Spicy/Herbal,Diesel"
1330,Master Kush,indica,4.3,"Relaxed,Happy,Euphoric,Sleepy,Uplifted","Earthy,Pungent,Woody"
1331,Master Og,indica,4.4,"Relaxed,Sleepy,Happy,Hungry,Uplifted","Earthy,Pine,Pungent"
1332,Master Skunk,hybrid,4.6,"Relaxed,Uplifted,Euphoric,Happy,Creative","Skunk,Lemon,Honey"
1333,Master Yoda,hybrid,4.5,"Relaxed,Happy,Euphoric,Uplifted,Focused","Pungent,Sweet,Earthy"
1334,Matanuska Thunder Fuck,sativa,4.3,"Happy,Euphoric,Energetic,Hungry,Relaxed","Earthy,Woody,Pungent"
1335,Mataro Blue,indica,4.6,"Relaxed,Sleepy,Euphoric,Hungry,Tingly","Berry,Sweet,Earthy"
1336,Maui,sativa,4.2,"Relaxed,Uplifted,Tingly,Happy,Talkative","Citrus,Sweet,Tropical"
1337,Maui Bubble Gift,hybrid,4.6,"Relaxed,Uplifted,Happy,Tingly,Euphoric","Sweet,Citrus,Pungent"
1338,Maui Citrus Punch,sativa,4.5,"Relaxed,Energetic,Uplifted,Creative,Euphoric","Citrus,Tropical,Skunk"
1339,Maui Haole,hybrid,4.6,"Happy,Creative,Euphoric,Aroused,Sleepy","Pungent,Tropical,Earthy"
1340,Maui Mango Diesel,hybrid,4.3,"Euphoric,Relaxed,Uplifted,Happy,Creative","Mango,Sweet,Diesel"
1341,Maui Pineapple Chunk,hybrid,4.7,"Creative,Euphoric,Uplifted,Aroused,Talkative","Pineapple,Tropical,Mango"
1342,Maui Wowie,sativa,4.4,"Happy,Uplifted,Energetic,Relaxed,Creative","Tropical,Pineapple,Citrus"
1343,Mazar I Sharif,indica,4.4,"Relaxed,Sleepy,Euphoric,Happy,Hungry","Earthy,Spicy/Herbal,Pine"
1344,Mazar Kush,indica,4.3,"Relaxed,Sleepy,Happy,Giggly,Hungry","Pungent,Earthy,Spicy/Herbal"
1345,Mean Misty,hybrid,4.2,"Relaxed,Uplifted,Talkative,Tingly,Energetic","Flowery,Sweet"
1346,Medihaze,sativa,4.6,"Relaxed,Happy,Focused,Uplifted,Energetic","Earthy,Sweet,Spicy/Herbal"
1347,Medibud,hybrid,4.5,"Uplifted,Relaxed,Euphoric,Happy,Focused","Sweet,Earthy,Skunk"
1348,Medicine Man,hybrid,4.4,"Relaxed,Uplifted,Sleepy,Happy,Euphoric","Berry,Woody,Earthy"
1349,Medicine Woman,hybrid,4.6,"Uplifted,Happy,Relaxed,Euphoric,Creative","Earthy,Citrus,Diesel"
1350,Medusa,hybrid,4.1,"Relaxed,Happy,Euphoric,Creative,Uplifted","Earthy,Blueberry,Pungent"
1351,Mega Jackpot,hybrid,4,"Relaxed,Happy,Uplifted,Euphoric,Hungry","Berry,Strawberry,Grape"
1352,Megalodon,sativa,4.4,"Uplifted,Happy,Hungry,Creative,Euphoric","Skunk,Pungent,Earthy"
1353,Mekamika Haze,sativa,5,"Uplifted,Creative,Energetic,Euphoric,Focused","Pineapple,Mango,Flowery"
1354,Melon Gum,hybrid,4.3,"Happy,Relaxed,Creative,Euphoric,Focused","Sweet,Lavender,Flowery"
1355,Memory Loss,sativa,4.6,"Creative,Uplifted,Happy,Euphoric,Talkative","Earthy,Sweet,Woody"
1356,Mendo Afgoo,indica,5,"Sleepy,Hungry,Relaxed,Uplifted,Euphoric","Earthy,Pungent,Skunk"
1357,Mendo Breath,indica,4.8,"Relaxed,Euphoric,Sleepy,Happy,Uplifted","Earthy,Pungent,Sweet"
1358,Mendocino Madness,hybrid,4,"Dry,Mouth","Earthy,Chestnut"
1359,Mendocino Purps,hybrid,4.3,"Relaxed,Happy,Euphoric,Tingly,Hungry","Earthy,Grape,Flowery"
1360,Mercury Og,indica,4.4,"Relaxed,Sleepy,Euphoric,Happy,Hungry","Pungent,Earthy,Woody"
1361,Merlot Og,indica,4.9,"Relaxed,Happy,Uplifted,Euphoric,Tingly","Butter,Flowery,Earthy"
1362,Mexican,sativa,3.4,"Uplifted,Euphoric,Giggly,Energetic,Talkative","Earthy,Woody,Diesel"
1363,Mexican Sativa,sativa,3.3,"Happy,Uplifted,Energetic,Hungry,Focused","Woody,Earthy,Nutty"
