,strain,type,rating,effects,taste
759,Euphoria,sativa,4.3,"Euphoric,Happy,Energetic,Creative,Relaxed","Earthy,Skunk,Sweet"
760,Eugene Cream,hybrid,4.6,"Relaxed,Sleepy,Tingly,Creative,Euphoric","Sweet,Earthy,Butter"
761,Euphoria Cookies,hybrid,5,"Euphoric,Creative,Uplifted,Happy,Relaxed","Sweet,Citrus,Tropical"
762,Everlast,indica,4.6,"Relaxed,Sleepy,Happy,Tingly,Euphoric","Earthy,Skunk,Flowery"
763,Ewok,hybrid,4.6,"Relaxed,Happy,Euphoric,Creative,Uplifted","Earthy,Woody,Pungent"
764,Exodus Cheese,hybrid,4.3,"Uplifted,Relaxed,Euphoric,Happy,Focused","Cheese,Citrus,Blueberry"
765,Extreme Cream,indica,4.8,"Relaxed,Sleepy,Happy,Uplifted,Euphoric","Butter,Sweet,Earthy"
766,Extreme Og,indica,4.9,"Relaxed,Sleepy,Hungry,Happy,Aroused","Lime,Earthy,Pungent"
767,Fn Louzer,indica,None,"Sleepy,Relaxed,Aroused,Tingly,Focused","Diesel,Earthy,Pungent"
768,Face Off Og,indica,4.8,"Relaxed,Sleepy,Euphoric,Tingly,Happy","Pungent,Sweet,Earthy"
769,Fallen Angel,indica,5,"Hungry,Relaxed,Sleepy,Uplifted,Euphoric","Earthy,Sage,Sweet"
770,False Teeth,hybrid,5,"Uplifted,Relaxed,Creative,Happy,Tingly","Earthy,Diesel,Grape"
771,Fast Eddy,hybrid,4.2,"Sleepy,Happy,Relaxed,Creative,Euphoric","Citrus,Pungent,Skunk"
772,Fat Axl,hybrid,4.3,"Talkative,Uplifted,Creative,Happy,Energetic","Diesel,Earthy,Skunk"
773,Fat Nelson,hybrid,4.6,"Euphoric,Happy,Uplifted,Creative,Energetic","Citrus,Pungent,Sage"
774,Fat Purple,indica,4.7,"Aroused,Euphoric,Relaxed,Giggly,Happy","Berry,Grape,Sweet"
775,Faygo Red Pop,indica,4.8,"Relaxed,Happy,Creative,Euphoric,Giggly","Strawberry,Spicy/Herbal,Sage"
776,Fighting Buddha,sativa,5,None,None
777,Fire Alien Kush,hybrid,4.5,"Uplifted,Happy,Euphoric,Aroused,Giggly","Earthy,Woody,Spicy/Herbal"
778,Fire Alien Strawberry,hybrid,4,"Talkative,Happy,Hungry,Relaxed,Energetic","Spicy/Herbal,Strawberry,Earthy"
779,Fire Haze,sativa,4.2,"Euphoric,Focused,Happy,Relaxed,Uplifted","Sweet,Berry,Earthy"
780,Fire Og,hybrid,4.4,"Relaxed,Happy,Euphoric,Uplifted,Energetic","Earthy,Citrus,Lemon"
781,Firewalker Og,sativa,4.3,"Uplifted,Happy,Relaxed,Euphoric,Creative","Pine,Woody,Citrus"
782,First 48,hybrid,4,"Uplifted,Focused,Hungry,Relaxed",None
783,Flaming Cookies,indica,4.2,"Happy,Relaxed,Euphoric,Tingly,Sleepy","Spicy/Herbal,Sweet,Diesel"
784,Flo,hybrid,4.2,"Happy,Uplifted,Relaxed,Creative,Focused","Sweet,Earthy,Flowery"
785,Flo Limone,sativa,4.8,"Euphoric,Relaxed,Uplifted,Happy,Tingly","Lemon,Sweet,Tropical"
786,Flo Og,indica,4.6,"Happy,Relaxed,Euphoric,Uplifted,Creative","Flowery,Earthy,Pungent"
787,Flo Walker,hybrid,4.8,"Happy,Relaxed,Creative,Energetic,Euphoric","Citrus,Lemon,Earthy"
788,Flowerbomb Kush,indica,4.6,"Happy,Relaxed,Creative,Hungry,Euphoric","Sweet,Earthy,Citrus"
789,Flowers For Algernon,hybrid,5,"Uplifted,Creative,Aroused,Talkative,Energetic","Diesel,Citrus,Minty"
790,Forbidden Fruit,indica,4.6,"Relaxed,Happy,Euphoric,Sleepy,Creative","Citrus,Grapefruit,Tropical"
791,Fortune Cookies,hybrid,4.6,"Relaxed,Happy,Focused,Euphoric,Creative","Earthy,Honey,Sweet"
792,Four Cups,hybrid,5,"Aroused,Talkative,Tingly,Uplifted,Energetic","Earthy,Diesel,Spicy/Herbal"
793,Four Star General,hybrid,4.8,"Euphoric,Hungry,Sleepy,Relaxed,Happy","Diesel,Flowery,Earthy"
794,Four Way,indica,5,"Sleepy,Euphoric,Relaxed,Focused","Pepper,Sweet,Honey"
795,Franks Gift,hybrid,3.9,"Relaxed,Happy,Focused,Giggly,Uplifted","Skunk,Woody,Tobacco"
796,Frankenstein,indica,4.4,"Relaxed,Sleepy,Euphoric,Happy,Tingly","Lavender,Tobacco,Earthy"
797,Fred Flipn Stoned,indica,5,"Happy,Relaxed,Sleepy,Tingly,Euphoric","Spicy/Herbal,Sage,Tree,Fruit"
798,Freezeland,indica,3.6,"Relaxed,Sleepy,Focused,Talkative,Happy","Pine,Woody,Earthy"
799,Frida,indica,4.9,"Relaxed,Happy,Creative,Sleepy,Aroused","Lemon,Earthy,Pine"
800,Frisian Dew,hybrid,4.2,"Euphoric,Relaxed,Happy,Uplifted,Tingly","Sweet,Citrus,Pungent"
801,Frisian Duck,hybrid,4.4,"Euphoric,Hungry,Relaxed,Sleepy,Happy","Sweet,Citrus,Woody"
802,Frostbite,sativa,4.3,"Sleepy,Tingly,Happy,Relaxed,Uplifted","Earthy,Skunk,Berry"
803,Frosted Freak,hybrid,4.8,"Happy,Relaxed,Focused,Euphoric,Uplifted","Flowery,Lime,Vanilla"
804,Frosty Jesus,hybrid,5,None,None
805,Fruit Loops,hybrid,4.5,"Relaxed,Happy,Uplifted,Euphoric,Focused","Sweet,Berry,Lemon"
806,Fruit Punch,sativa,4.6,"Happy,Energetic,Creative,Focused,Uplifted","Sweet,Berry,Skunk"
807,Fruit Spirit,hybrid,4.4,"Focused,Happy,Relaxed,Euphoric,Sleepy","Earthy,Blueberry,Sweet"
808,Fruity Chronic Juice,indica,4.2,"Relaxed,Euphoric,Happy,Uplifted,Creative","Citrus,Grapefruit,Tropical"
